,arm_name,metric_name,mean,sem,trial_index
179,45_0,latency,0.5005153681952477,0.0,45
180,46_0,accuracy,0.7909887359198999,0.0,46
181,46_0,weight,0.6725598717624718,0.0,46
182,46_0,ram,0.6525821436871563,0.0,46
183,46_0,latency,0.6197510126076248,0.0,46
184,47_0,accuracy,0.7930142302716688,0.0,47
185,47_0,weight,0.7396480659612265,0.0,47
186,47_0,ram,0.7085831769318114,0.0,47
187,47_0,latency,0.7346591331077571,0.0,47
188,48_0,accuracy,0.7265017667844522,0.0,48
189,48_0,weight,0.6537099103900619,0.0,48
190,48_0,ram,0.6620897286033451,0.0,48
191,48_0,latency,0.5317292455282551,0.0,48
192,49_0,accuracy,0.7834902244750181,0.0,49
193,49_0,weight,0.7315987943088669,0.0,49
194,49_0,ram,0.704319734273134,0.0,49
195,49_0,latency,0.7369674318738734,0.0,49
196,50_0,accuracy,0.6874391431353457,0.0,50
197,50_0,weight,0.6136530373022486,0.0,50
198,50_0,ram,0.59422468404581,0.0,50
199,50_0,latency,0.41217466325316066,0.0,50
200,51_0,accuracy,0.782608695652174,0.0,51
201,51_0,weight,0.6791305755986105,0.0,51
202,51_0,ram,0.6690522423013933,0.0,51
203,51_0,latency,0.5796939987718912,0.0,51
204,52_0,accuracy,0.6913439635535308,0.0,52
205,52_0,weight,0.5189518715020015,0.0,52
206,52_0,ram,0.5254674760792323,0.0,52
207,52_0,latency,0.24809847159516896,0.0,52
208,53_0,accuracy,0.7173366834170855,0.0,53
209,53_0,weight,0.6332734966272462,0.0,53
210,53_0,ram,0.6182917926250533,0.0,53
211,53_0,latency,0.4868506793130398,0.0,53
212,54_0,accuracy,0.8187772925764192,0.0,54
213,54_0,weight,0.7301879221322337,0.0,54
214,54_0,ram,0.7093351427614815,0.0,54
215,54_0,latency,0.7090494552899459,0.0,54
216,55_0,accuracy,0.7571519389701208,0.0,55
217,55_0,weight,0.7105190113693656,0.0,55
218,55_0,ram,0.7043068876788906,0.0,55
219,55_0,latency,0.6374753405551135,0.0,55
220,56_0,accuracy,0.6612794612794612,0.0,56
221,56_0,weight,0.6948824928684689,0.0,56
222,56_0,ram,0.6821367885004808,0.0,56
223,56_0,latency,0.6069876968966922,0.0,56
224,57_0,accuracy,0.7580751483190508,0.0,57
225,57_0,weight,0.6590147359817355,0.0,57
